Club,Division,Nation of Club,Club Reputation
Toofan,Afghan Premier League,Afghanistan,National
De Maiwand,Afghan Premier League,Afghanistan,National
Simorgh,Afghan Premier League,Afghanistan,National
Oqaban,Afghan Premier League,Afghanistan,National
De Spinghar,Afghan Premier League,Afghanistan,National
Shaheen,Afghan Premier League,Afghanistan,Regional
Kabul Bank,Afghan Lower Division,Afghanistan,Local
Mawjhai,Afghan Premier League,Afghanistan,Local
De Abasin,Afghan Premier League,Afghanistan,Obscure
Kabul Club,Afghan Lower Division,Afghanistan,Obscure
ASA (AFG),Afghan Lower Division,Afghanistan,Obscure
Afghan Utd,Afghan Lower Division,Afghanistan,Obscure
Kickers (AFG),Afghan Lower Division,Afghanistan,Obscure
AFC (AFG),Afghan Lower Division,Afghanistan,Obscure
Nooristan,Afghan Lower Division,Afghanistan,Obscure
Aieynda,Afghan Lower Division,Afghanistan,Obscure
Mayhan,Afghan Lower Division,Afghanistan,Obscure
Nijat,Afghan Lower Division,Afghanistan,Obscure
Pamir (AFG),Afghan Lower Division,Afghanistan,Obscure
Bamyan,Afghan Lower Division,Afghanistan,Obscure
Esteqlal,Afghan Lower Division,Afghanistan,Obscure
Kabul Utd,Afghan Lower Division,Afghanistan,Obscure
Milan Kabul,Afghan Lower Division,Afghanistan,Obscure
Ordu Kabul,Afghan Lower Division,Afghanistan,Obscure
Hakim Sanayi,Afghan Lower Division,Afghanistan,Obscure
Javanan Mihan,Afghan Lower Division,Afghanistan,Obscure
Shiva,Afghan Lower Division,Afghanistan,Obscure
Shoa,Afghan Lower Division,Afghanistan,Obscure
Maiwand,Afghan Lower Division,Afghanistan,Obscure
Javanan Azadi,Afghan Lower Division,Afghanistan,Obscure
Solh,Afghan Lower Division,Afghanistan,Obscure
Sarmiyasht,Afghan Lower Division,Afghanistan,Obscure
Sabavan,Afghan Lower Division,Afghanistan,Obscure
KF Vllaznia,Albanian Superleague,Albania,National
KF Teuta,Albanian Superleague,Albania,National
KF Partizani,Albanian Superleague,Albania,National
KF Laçi,Albanian Superleague,Albania,National
KF Tirana,Albanian Superleague,Albania,National
KF Kukësi,Albanian Superleague,Albania,National
KS Kastrioti,Albanian Superleague,Albania,National
KF Bylis,Albanian First Category,Albania,National
KF Skënderbeu,Albanian Superleague,Albania,National
FK Apolonia,Albanian First Category,Albania,National
FK Dinamo Tirana,Albanian Superleague,Albania,National
KF Egnatia,Albanian Superleague,Albania,National
KS Besa,Albanian First Category,Albania,National
KF Burreli,Albanian First Category,Albania,National
KF Korabi,Albanian First Category,Albania,National
KF Lushnja,Albanian First Category,Albania,National
KF Besëlidhja,Albanian First Category,Albania,National
Tomori,Albanian First Category,Albania,National
Turbina (C),Albanian First Category,Albania,National
Flamurtari,Albanian Second Category - Group B,Albania,National
Pogradeci,Albanian First Category,Albania,National
KF Oriku,Albanian Second Category - Group A,Albania,Regional
Tërbuni,Albanian First Category,Albania,Regional
FK Vora,Albanian First Category,Albania,Regional
KF Elbasani,Albanian Second Category - Group A,Albania,Regional
Veleçiku,Albanian Second Category - Group A,Albania,Regional
KF Erzeni,Albanian First Category,Albania,Regional
Devolli,Albanian Second Category - Group B,Albania,Regional
Sopoti,Albanian Second Category - Group B,Albania,Regional
KF Naftëtari,Albanian Second Category - Group B,Albania,Regional
KF Ada,Albanian Second Category - Group A,Albania,Regional
Gramshi,Albanian Second Category - Group A,Albania,Regional
KF Butrinti,Albanian First Category,Albania,Regional
Vllaznia II,-,Albania,Regional
Shkumbini,Albanian First Category,Albania,Regional
KF Partizani II,-,Albania,Regional
KF Iliria,Albanian Second Category - Group A,Albania,Local
Shënkolli,Albanian Second Category - Group A,Albania,Local
KF Albpetrol,Albanian Second Category - Group B,Albania,Local
Gramozi,Albanian Second Category - Group B,Albania,Local
AF Luftëtari,Albanian Second Category - Group B,Albania,Local
Skrapari,Albanian Third Category - Group B,Albania,Local
Brians,-,Albania,Local
Memaliaj,Albanian Second Category - Group B,Albania,Local
Bilisht Sporti,-,Albania,Local
Përmeti,Albanian Second Category - Group B,Albania,Local
FC Term,-,Albania,Local
Olimpiku,-,Albania,Local
Delvina,Albanian Third Category - Group B,Albania,Local
Shkëndija Tiranë,-,Albania,Local
Bulqiza,Albanian Second Category - Group A,Albania,Local
KF Klosi,Albanian Second Category - Group A,Albania,Local
KF Luzi i Vogël 2008,Albanian Second Category - Group A,Albania,Local
KF Mirdita,Albanian Third Category - Group A,Albania,Local
KF Këlcyra,Albanian Second Category - Group B,Albania,Local
Labëria,Albanian Second Category - Group B,Albania,Local
KF Maliqi,Albanian First Category,Albania,Local
Drini 2004,Albanian Third Category,Albania,Local
KF Murlani,Albanian Second Category - Group A,Albania,Local
FC Kinostudio,Albanian Third Category,Albania,Local
KF Osumi,Albanian Third Category,Albania,Local
Valbona,Albanian Third Category - Group A,Albania,Local
Spartaku Tiranë,Albanian Third Category,Albania,Obscure
FC Internacional Tirana,Albanian Second Category - Group A,Albania,Obscure
Pirust,-,Albania,Obscure
Akademia AAS,-,Albania,Obscure
Internacionale Tirana,-,Albania,Obscure
Football Republic,-,Albania,Obscure
AF Kamza 05,Albanian Third Category,Albania,Obscure
Tepelena,Albanian Second Category - Group B,Albania,Obscure
AF Elbasani,-,Albania,Obscure
ES Sétif,Algerian League 1,Algeria,Continental
Petro de Luanda,Angolan Championship,Angola,Continental
USM Alger,Algerian League 1,Algeria,Continental
1º de Agosto,Angolan Championship,Angola,National
MC Alger,Algerian League 1,Algeria,National
JS Kabylie,Algerian League 1,Algeria,National
CR Bélouizdad,Algerian League 1,Algeria,National
CS Constantine,Algerian League 1,Algeria,National
Interclube,Angolan Championship,Angola,National
Recreativo do Libolo,Angolan Championship,Angola,National
Bravos do Maquis,Angolan Championship,Angola,National
Paradou AC,Algerian League 1,Algeria,National
ASA (ANG),Angolan Second Division,Angola,National
Sagrada Esperança,Angolan Championship,Angola,National
CR Caála,Angolan Championship,Angola,National
MC Oran,Algerian League 1,Algeria,National
MO Béjaïa,Algerian League 2 - East,Algeria,National
Académica Lobito,Angolan Championship,Angola,National
Progresso Sambizanga,Angolan Championship,Angola,National
Desportivo Huíla,Angolan Championship,Angola,National
JS Saoura,Algerian League 1,Algeria,National
CABB Arréridj,Algerian League 2 - East,Algeria,National
Sporting Cabinda,Angolan Championship,Angola,National
Kabuscorp,Angolan Championship,Angola,National
AS Aïn M'lila,Algerian League 2 - West,Algeria,National
Santa Rita de Cássia,Angolan Second Division,Angola,National
Benfica de Luanda,Angolan Lower Division,Angola,National
1º de Maio Benguela,Angolan Second Division,Angola,National
RC Relizane,Algerian League 1,Algeria,National
Wiliete de Benguela,Angolan Championship,Angola,National
USM Bel Abbès,Algerian League 2 - West,Algeria,National
Kuando Kubango,Angolan Championship,Angola,National
O. Médéa,Algerian League 1,Algeria,National
Sporting Benguela,Angolan Championship,Angola,National
NA Hussein-Dey,Algerian League 1,Algeria,National
Desportivo Lunda Sul,Angolan Championship,Angola,National
JSM Béjaïa,Algerian League 2 - East,Algeria,National
WA Tlemcen,Algerian League 1,Algeria,National
ASO Chlef,Algerian League 1,Algeria,National
MC Saïda,Algerian League 2 - West,Algeria,National
Nacional de Benguela,Angolan Lower Division,Angola,National
Baixa de Kassanje,Angolan Second Division,Angola,National
USM Annaba,Algerian League 2 - East,Algeria,National
USM El Harrach,Algerian League 2 - West,Algeria,National
ASM Oran,Algerian League 2 - West,Algeria,National
AFA (ANG),-,Angola,National
Ferrovia Huambo,Angolan Second Division,Angola,National
MC El Eulma,Algerian League 2 - East,Algeria,National
Domant FC,Angolan Second Division,Angola,National
Benfica de Lubango,Angolan Lower Division,Angola,National
Santos FC (ANG),Angolan Lower Division,Angola,National
Sporting Bié,Angolan Second Division,Angola,National
