Division,Nation,Division Reputation
Spanish First Division,Spain,Superb
English Premier Division,England,Excellent
Bundesliga,Germany,Excellent
Italian Serie A,Italy,Excellent
Ligue 1 Uber Eats,France,Impressive
Portuguese Premier League,Portugal,Impressive
Brazilian National First Division,Brazil,Impressive
Argentine Premier Division,Argentina,Impressive
Eredivisie,Holland,Impressive
Russian Premier League,Russia,Impressive
Mexican First Division,Mexico,Impressive
Belgian Pro League A,Belgium,Impressive
Austrian Premier Division,Austria,Impressive
Ukrainian Premier League,Ukraine,Good
cinch Premiership,Scotland,Good
Turkish Super League,Turkey,Good
Swiss Super League,Switzerland,Good
3F Superliga,Denmark,Good
Major League Soccer,United States,Good
Cypriot First Division,Cyprus,Good
Croatian First League,Croatia,Good
Czech First Division,Czech Republic,Good
Serbian SuperLeague,Serbia,Good
Sky Bet Championship,England,Good
Greek Super League 1,Greece,Good
Israeli Premier League,Israel,Good
Colombian First Division,Colombia,Good
Norwegian Premier Division,Norway,Good
Ecuadorian LigaPro Serie A,Ecuador,Good
Swedish Premier Division,Sweden,Good
Bulgarian First League,Bulgaria,Good
Bundesliga 2,Germany,Good
Chinese Super League,China PR,Good
Uruguayan First Division,Uruguay,Good
Qatari Stars League,Qatar,Good
Romanian First League,Romania,Good
Chilean First Division,Chile,Good
Azeri Premier League,Azerbaijan,Fairly Good
Paraguay First Division Primera División,Paraguay,Fairly Good
Hana 1Q K LEAGUE 1,South Korea,Fairly Good
Italian Serie B,Italy,Fairly Good
Spanish Second Division,Spain,Fairly Good
Brazilian National Second Division,Brazil,Fairly Good
UAE Professional League,United Arab Emirates,Fairly Good
Belarusian Highest League,Belarus,Fairly Good
Hungarian Division I,Hungary,Fairly Good
Kazakhstan Premier League,Kazakhstan,Fairly Good
Ligue 2 BKT,France,Fairly Good
Nihon-League 1,Japan,Fairly Good
Peruvian First Division,Peru,Fairly Good
Slovenian First League,Slovenia,Fairly Good
Tunisian League 1,Tunisia,Fairly Good
Slovak First Division,Slovakia,Fairly Good
Argentine Second Division,Argentina,Fairly Good
PKO Bank Polski Ekstraklasa,Poland,Fairly Good
Egyptian Premier League,Egypt,Fairly Good
Austrian First Division,Austria,Fairly Good
Iranian Professional League,Iran,Fairly Good
Saudi Professional League,Saudi Arabia,Fairly Good
Primera División de Costa Rica,Costa Rica,Fairly Good
Moroccan Premier Division,Morocco,Fairly Good
Algerian League 1,Algeria,Fairly Good
South African Premier Soccer League,South Africa,Fairly Good
Venezuelan Premier Division,Venezuela,Fairly Good
Sky Bet League One,England,Fairly Good
Swiss Challenge League,Switzerland,Fairly Good
Portuguese Second League,Portugal,Fairly Good
Norwegian First Division,Norway,Fairly Good
Bolivian Premier Division,Bolivia,Fairly Good
Liga Nacional de Honduras,Honduras,Fairly Good
